,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
2,3,01/01/2004,Oficina,Alquiler,Girona,82.0,,08/11/2004,Joaquín
10,11,04/01/2004,Oficina,Alquiler,Girona,124.0,627068.0,28/10/2004,Pedro
19,20,08/01/2004,Oficina,Alquiler,Barcelona,148.0,1169496.0,19/08/2004,María
21,22,09/01/2004,Oficina,Alquiler,Lleida,116.0,727552.0,14/04/2004,Pedro
23,24,10/01/2004,Oficina,Alquiler,Tarragona,79.0,,01/12/2004,Joaquín
24,25,10/01/2004,Oficina,Alquiler,Barcelona,124.0,1170684.0,23/05/2004,Jesús
42,43,19/01/2004,Oficina,Alquiler,Girona,74.0,579716.0,22/09/2004,María
44,45,20/01/2004,Oficina,Alquiler,Barcelona,287.0,2851058.0,02/01/2005,Joaquín
45,46,20/01/2004,Oficina,Alquiler,Lleida,224.0,1294048.0,29/10/2004,Carmen
56,57,23/01/2004,Oficina,Alquiler,Lleida,54.0,512730.0,04/07/2004,Carmen
59,60,24/01/2004,Oficina,Alquiler,Lleida,270.0,1920240.0,28/06/2004,Jesús
133,134,22/02/2004,Oficina,Alquiler,Tarragona,275.0,1765225.0,20/02/2005,Joaquín
135,136,23/02/2004,Oficina,Alquiler,Lleida,105.0,624435.0,24/06/2004,Joaquín
142,143,27/02/2004,Oficina,Alquiler,Tarragona,134.0,1310520.0,28/12/2004,María
150,151,01/03/2004,Oficina,Alquiler,Lleida,128.0,1259904.0,02/10/2004,Luisa
163,164,05/03/2004,Oficina,Alquiler,Girona,287.0,1395681.0,13/09/2004,Carmen
197,198,21/03/2004,Oficina,Alquiler,Girona,174.0,720882.0,14/08/2004,Pedro
209,210,24/03/2004,Oficina,Alquiler,Lleida,206.0,1297594.0,03/03/2005,Carmen
229,230,02/04/2004,Oficina,Alquiler,Tarragona,186.0,1382166.0,01/03/2005,Pedro
262,263,13/04/2004,Oficina,Alquiler,Barcelona,244.0,1006988.0,06/08/2004,María
275,276,17/04/2004,Oficina,Alquiler,Girona,110.0,1039500.0,17/11/2004,Pedro
282,283,18/04/2004,Oficina,Alquiler,Tarragona,137.0,1336298.0,27/11/2004,Pedro
289,290,20/04/2004,Oficina,Alquiler,Girona,227.0,1437818.0,27/03/2005,Jesús
337,338,08/05/2004,Oficina,Alquiler,Barcelona,41.0,361661.0,28/01/2005,Carmen
347,348,11/05/2004,Oficina,Alquiler,Girona,187.0,1560889.0,26/03/2005,Joaquín
354,355,14/05/2004,Oficina,Alquiler,Tarragona,209.0,1181686.0,15/10/2004,Carmen
376,377,24/05/2004,Oficina,Alquiler,Barcelona,105.0,525210.0,16/04/2005,Pedro
388,389,29/05/2004,Oficina,Alquiler,Tarragona,196.0,882784.0,02/02/2005,Luisa
415,416,07/06/2004,Oficina,Alquiler,Lleida,201.0,1287807.0,11/09/2004,Carmen
425,426,09/06/2004,Oficina,Alquiler,Lleida,207.0,1042659.0,12/10/2004,Jesús
431,432,12/06/2004,Oficina,Alquiler,Lleida,205.0,1980300.0,01/01/2005,Joaquín
438,439,15/06/2004,Oficina,Alquiler,Girona,298.0,2524358.0,23/10/2004,Luisa
453,454,19/06/2004,Oficina,Alquiler,Barcelona,72.0,458568.0,06/10/2004,Luisa
459,460,22/06/2004,Oficina,Alquiler,Barcelona,77.0,322322.0,12/03/2005,Joaquín
461,462,22/06/2004,Oficina,Alquiler,Lleida,204.0,924732.0,28/04/2005,María
475,476,26/06/2004,Oficina,Alquiler,Lleida,88.0,851488.0,25/05/2005,Carmen
480,481,29/06/2004,Oficina,Alquiler,Barcelona,257.0,1166780.0,10/01/2005,Jesús
514,515,08/07/2004,Oficina,Alquiler,Barcelona,47.0,262777.0,22/12/2004,Carmen
515,516,08/07/2004,Oficina,Alquiler,Barcelona,119.0,720902.0,23/06/2005,Carmen
585,586,01/08/2004,Oficina,Alquiler,Lleida,77.0,613921.0,23/03/2005,María
599,600,08/08/2004,Oficina,Alquiler,Barcelona,289.0,1275646.0,29/01/2005,Pedro
617,618,13/08/2004,Oficina,Alquiler,Lleida,78.0,391560.0,20/01/2005,Pedro
651,652,22/08/2004,Oficina,Alquiler,Girona,259.0,1080548.0,31/12/2004,María
653,654,22/08/2004,Oficina,Alquiler,Girona,207.0,1953873.0,10/06/2005,Luisa
674,675,29/08/2004,Oficina,Alquiler,Barcelona,62.0,329716.0,10/05/2005,Pedro
704,705,08/09/2004,Oficina,Alquiler,Tarragona,271.0,1165842.0,10/02/2005,Luisa
714,715,10/09/2004,Oficina,Alquiler,Lleida,43.0,329681.0,19/01/2005,Jesús
715,716,10/09/2004,Oficina,Alquiler,Barcelona,206.0,1793848.0,03/09/2005,Luisa
723,724,12/09/2004,Oficina,Alquiler,Barcelona,241.0,2085373.0,07/07/2005,Joaquín
724,725,13/09/2004,Oficina,Alquiler,Barcelona,180.0,901980.0,07/02/2005,Carmen
732,733,17/09/2004,Oficina,Alquiler,Girona,164.0,1225244.0,07/08/2005,Jesús
734,735,18/09/2004,Oficina,Alquiler,Barcelona,89.0,588023.0,26/06/2005,Joaquín
745,746,22/09/2004,Oficina,Alquiler,Tarragona,136.0,761056.0,11/04/2005,Jesús
763,764,27/09/2004,Oficina,Alquiler,Girona,210.0,1122240.0,27/08/2005,Pedro
782,783,06/10/2004,Oficina,Alquiler,Girona,219.0,1455693.0,28/01/2005,Joaquín
807,808,15/10/2004,Oficina,Alquiler,Girona,119.0,630224.0,09/04/2005,Joaquín
813,814,17/10/2004,Oficina,Alquiler,Barcelona,192.0,1627200.0,27/01/2005,Luisa
825,826,21/10/2004,Oficina,Alquiler,Girona,239.0,1709567.0,10/06/2005,Jesús
832,833,24/10/2004,Oficina,Alquiler,Lleida,212.0,1968632.0,23/10/2005,Pedro
847,848,31/10/2004,Oficina,Alquiler,Tarragona,223.0,1566129.0,06/04/2005,Jesús
857,858,03/11/2004,Oficina,Alquiler,Lleida,251.0,1821758.0,11/06/2005,Luisa
862,863,06/11/2004,Oficina,Alquiler,Barcelona,246.0,2328636.0,10/03/2005,Luisa
874,875,09/11/2004,Oficina,Alquiler,Girona,147.0,1259202.0,03/05/2005,Pedro
876,877,09/11/2004,Oficina,Alquiler,Lleida,128.0,549120.0,16/03/2005,Carmen
887,888,13/11/2004,Oficina,Alquiler,Lleida,95.0,412395.0,31/07/2005,María
888,889,13/11/2004,Oficina,Alquiler,Lleida,236.0,1420012.0,31/10/2005,Pedro
901,902,17/11/2004,Oficina,Alquiler,Barcelona,294.0,2722146.0,05/11/2005,Joaquín
906,907,18/11/2004,Oficina,Alquiler,Barcelona,59.0,491706.0,03/07/2005,Jesús
934,935,30/11/2004,Oficina,Alquiler,Lleida,164.0,1373008.0,09/06/2005,Pedro
961,962,10/12/2004,Oficina,Alquiler,Barcelona,174.0,1271592.0,13/07/2005,Joaquín
982,983,19/12/2004,Oficina,Alquiler,Barcelona,250.0,1127750.0,04/04/2005,Luisa
1004,1005,26/12/2004,Oficina,Alquiler,Girona,159.0,1437360.0,12/06/2005,Luisa
1006,1007,27/12/2004,Oficina,Alquiler,Tarragona,86.0,822504.0,17/08/2005,Jesús
1046,1047,11/01/2005,Oficina,Alquiler,Barcelona,157.0,949693.0,27/11/2005,Jesús
1053,1054,14/01/2005,Oficina,Alquiler,Barcelona,251.0,2138771.0,15/05/2005,Carmen
1072,1073,22/01/2005,Oficina,Alquiler,Tarragona,246.0,2083866.0,25/07/2005,Luisa
1077,1078,24/01/2005,Oficina,Alquiler,Barcelona,254.0,1850644.0,28/11/2005,Carmen
1082,1083,25/01/2005,Oficina,Alquiler,Tarragona,210.0,1332030.0,02/01/2006,Carmen
1128,1129,14/02/2005,Oficina,Alquiler,Girona,119.0,899640.0,12/12/2005,Pedro
1147,1148,18/02/2005,Oficina,Alquiler,Barcelona,233.0,984192.0,28/01/2006,Jesús
1148,1149,18/02/2005,Oficina,Alquiler,Lleida,61.0,481656.0,18/09/2005,Carmen
1179,1180,28/02/2005,Oficina,Alquiler,Barcelona,70.0,354270.0,18/11/2005,Jesús
1183,1184,01/03/2005,Oficina,Alquiler,Lleida,94.0,639952.0,26/09/2005,Luisa
1198,1199,06/03/2005,Oficina,Alquiler,Barcelona,42.0,235746.0,25/07/2005,Joaquín
1243,1244,20/03/2005,Oficina,Alquiler,Barcelona,274.0,1152718.0,31/07/2005,Pedro
1263,1264,28/03/2005,Oficina,Alquiler,Tarragona,186.0,1843074.0,04/10/2005,Pedro
1294,1295,07/04/2005,Oficina,Alquiler,Girona,214.0,899228.0,24/12/2005,Luisa
1338,1339,24/04/2005,Oficina,Alquiler,Tarragona,77.0,716793.0,25/02/2006,Pedro
1361,1362,30/04/2005,Oficina,Alquiler,Tarragona,172.0,1441188.0,12/04/2006,Luisa
1369,1370,02/05/2005,Oficina,Alquiler,Lleida,240.0,1270800.0,25/04/2006,Luisa
1377,1378,05/05/2005,Oficina,Alquiler,Tarragona,186.0,1543428.0,25/08/2005,Pedro
1383,1384,07/05/2005,Oficina,Alquiler,Lleida,101.0,634583.0,21/04/2006,María
1386,1387,08/05/2005,Oficina,Alquiler,Lleida,141.0,843180.0,25/12/2005,Carmen
1397,1398,10/05/2005,Oficina,Alquiler,Barcelona,107.0,899014.0,09/04/2006,María
1446,1447,31/05/2005,Oficina,Alquiler,Barcelona,96.0,567072.0,30/10/2005,Jesús
1447,1448,31/05/2005,Oficina,Alquiler,Lleida,188.0,1579012.0,14/04/2006,María
1459,1460,06/06/2005,Oficina,Alquiler,Girona,228.0,1039452.0,11/01/2006,Carmen
1467,1468,09/06/2005,Oficina,Alquiler,Tarragona,131.0,1297686.0,01/05/2006,Carmen
1490,1491,16/06/2005,Oficina,Alquiler,Girona,138.0,1241034.0,05/06/2006,Carmen
1527,1528,30/06/2005,Oficina,Alquiler,Girona,204.0,1132608.0,12/11/2005,María
1528,1529,30/06/2005,Oficina,Alquiler,Girona,185.0,1257075.0,06/06/2006,María
1548,1549,08/07/2005,Oficina,Alquiler,Tarragona,59.0,519259.0,30/10/2005,María
1566,1567,16/07/2005,Oficina,Alquiler,Tarragona,296.0,2057496.0,13/11/2005,Jesús
1568,1569,17/07/2005,Oficina,Alquiler,Tarragona,273.0,2202837.0,27/06/2006,María
1599,1600,27/07/2005,Oficina,Alquiler,Lleida,114.0,764370.0,24/02/2006,Carmen
1615,1616,03/08/2005,Oficina,Alquiler,Lleida,126.0,757260.0,23/07/2006,Pedro
1623,1624,04/08/2005,Oficina,Alquiler,Tarragona,59.0,281548.0,22/07/2006,Jesús
1624,1625,05/08/2005,Oficina,Alquiler,Lleida,73.0,328646.0,01/02/2006,Carmen
1631,1632,07/08/2005,Oficina,Alquiler,Tarragona,48.0,404352.0,25/02/2006,Joaquín
1640,1641,09/08/2005,Oficina,Alquiler,Lleida,93.0,552513.0,29/01/2006,Pedro
1653,1654,15/08/2005,Oficina,Alquiler,Lleida,137.0,804327.0,17/12/2005,Joaquín
1655,1656,15/08/2005,Oficina,Alquiler,Lleida,79.0,411669.0,04/08/2006,Pedro
1665,1666,19/08/2005,Oficina,Alquiler,Lleida,69.0,442635.0,15/06/2006,María
1667,1668,22/08/2005,Oficina,Alquiler,Lleida,103.0,872204.0,26/11/2005,María
1668,1669,23/08/2005,Oficina,Alquiler,Girona,203.0,1933372.0,31/01/2006,Jesús
1720,1721,10/09/2005,Oficina,Alquiler,Lleida,173.0,994750.0,02/09/2006,Joaquín
1722,1723,10/09/2005,Oficina,Alquiler,Lleida,142.0,1201462.0,06/08/2006,Jesús
1725,1726,11/09/2005,Oficina,Alquiler,Lleida,194.0,1931658.0,14/12/2005,Jesús
1733,1734,13/09/2005,Oficina,Alquiler,Barcelona,223.0,974956.0,23/07/2006,Luisa
1755,1756,24/09/2005,Oficina,Alquiler,Lleida,85.0,613275.0,12/02/2006,Pedro
1788,1789,04/10/2005,Oficina,Alquiler,Girona,85.0,749275.0,05/01/2006,María
1790,1791,04/10/2005,Oficina,Alquiler,Girona,228.0,1747392.0,24/05/2006,Carmen
1798,1799,06/10/2005,Oficina,Alquiler,Lleida,289.0,2249576.0,18/06/2006,Carmen
1846,1847,27/10/2005,Oficina,Alquiler,Tarragona,182.0,1499134.0,07/09/2006,Joaquín
1859,1860,01/11/2005,Oficina,Alquiler,Girona,213.0,2083779.0,23/04/2006,María
1863,1864,02/11/2005,Oficina,Alquiler,Girona,67.0,304113.0,29/06/2006,Joaquín
