,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,01/01/2004,Parking,Alquiler,Lleida,291.0,2133903.0,19/06/2004,Carmen
1,2,01/01/2004,Local,Venta,Girona,185.0,1945424.0,19/04/2004,Pedro
7,8,03/01/2004,Oficina,Venta,Girona,235.0,2158475.0,31/10/2004,Jesús
8,9,04/01/2004,Piso,Alquiler,Lleida,108.0,1024380.0,28/12/2004,Jesús
9,10,04/01/2004,Parking,Venta,Lleida,299.0,2042768.0,06/10/2004,Joaquín
11,12,04/01/2004,Industrial,Venta,Girona,187.0,999328.0,05/04/2004,Carmen
12,13,04/01/2004,Parking,Venta,Barcelona,,2937300.0,04/11/2004,Jesús
13,14,04/01/2004,Local,Venta,Tarragona,68.0,664700.0,01/10/2004,Carmen
15,16,05/01/2004,Casa,Alquiler,Girona,179.0,937960.0,21/11/2004,Carmen
17,18,06/01/2004,Suelo,Venta,Barcelona,283.0,1679605.0,06/06/2004,Carmen
19,20,08/01/2004,Oficina,Alquiler,Barcelona,148.0,1169496.0,19/08/2004,María
20,21,09/01/2004,Industrial,Venta,Barcelona,228.0,2020992.0,12/06/2004,Carmen
22,23,10/01/2004,Casa,Alquiler,Girona,183.0,1438929.0,21/04/2004,Luisa
24,25,10/01/2004,Oficina,Alquiler,Barcelona,124.0,1170684.0,23/05/2004,Jesús
27,28,12/01/2004,Casa,Alquiler,Barcelona,187.0,1660560.0,16/06/2004,Joaquín
29,30,12/01/2004,Local,Alquiler,Tarragona,201.0,939072.0,04/08/2004,Carmen
30,31,13/01/2004,Industrial,Alquiler,Barcelona,142.0,1405374.0,24/09/2004,Jesús
32,33,15/01/2004,Local,Alquiler,Barcelona,181.0,1504110.0,03/07/2004,María
33,34,15/01/2004,Casa,Venta,Barcelona,281.0,2483197.0,01/11/2004,María
34,35,15/01/2004,Industrial,Alquiler,Tarragona,257.0,1799771.0,31/12/2004,Luisa
35,36,16/01/2004,Industrial,Alquiler,Tarragona,140.0,1054340.0,02/12/2004,Luisa
36,37,16/01/2004,Local,Venta,Girona,229.0,1160572.0,09/07/2004,Pedro
37,38,17/01/2004,Suelo,Alquiler,Tarragona,300.0,1492800.0,08/12/2004,Joaquín
38,39,18/01/2004,Parking,Alquiler,Tarragona,215.0,1154980.0,14/01/2005,Joaquín
39,40,18/01/2004,Oficina,Venta,Girona,182.0,1057784.0,22/07/2004,Jesús
40,41,18/01/2004,Piso,Venta,Barcelona,230.0,1421860.0,23/09/2004,Jesús
41,42,19/01/2004,Oficina,Venta,Tarragona,168.0,1426992.0,20/11/2004,Jesús
43,44,19/01/2004,Casa,Venta,Girona,278.0,1537062.0,16/12/2004,María
44,45,20/01/2004,Oficina,Alquiler,Barcelona,287.0,2851058.0,02/01/2005,Joaquín
45,46,20/01/2004,Oficina,Alquiler,Lleida,224.0,1294048.0,29/10/2004,Carmen
47,48,20/01/2004,Industrial,Venta,Barcelona,284.0,1457488.0,06/07/2004,Jesús
49,50,20/01/2004,Local,Alquiler,Tarragona,235.0,957625.0,13/11/2004,Carmen
51,52,22/01/2004,Local,Alquiler,Lleida,206.0,1605564.0,26/09/2004,María
52,53,22/01/2004,Suelo,Alquiler,Tarragona,158.0,1438748.0,17/10/2004,Carmen
54,55,22/01/2004,Local,Venta,Girona,127.0,983234.0,09/07/2004,Carmen
56,57,23/01/2004,Oficina,Alquiler,Lleida,54.0,512730.0,04/07/2004,Carmen
57,58,24/01/2004,Local,Alquiler,Girona,274.0,2287626.0,21/12/2004,María
58,59,24/01/2004,Industrial,Venta,Tarragona,166.0,1373816.0,19/11/2004,Joaquín
59,60,24/01/2004,Oficina,Alquiler,Lleida,270.0,1920240.0,28/06/2004,Jesús
60,61,24/01/2004,Casa,Venta,Tarragona,120.0,1140840.0,12/09/2004,Carmen
61,62,24/01/2004,Industrial,Venta,Tarragona,178.0,1142938.0,23/01/2005,Joaquín
64,65,26/01/2004,Oficina,Venta,Tarragona,144.0,1436832.0,26/05/2004,Luisa
65,66,27/01/2004,Suelo,Venta,Lleida,272.0,2119424.0,24/12/2004,Pedro
68,69,27/01/2004,Local,Venta,Girona,248.0,2212408.0,09/10/2004,María
69,70,28/01/2004,Casa,Alquiler,Tarragona,179.0,1647695.0,12/07/2004,María
70,71,28/01/2004,Casa,Venta,Girona,235.0,1939925.0,01/11/2004,Carmen
71,72,28/01/2004,Suelo,Venta,Tarragona,216.0,1478952.0,15/10/2004,Carmen
73,74,29/01/2004,Industrial,Venta,Girona,229.0,1098055.0,22/10/2004,Joaquín
75,76,29/01/2004,Suelo,Alquiler,Tarragona,234.0,1757106.0,28/12/2004,Pedro
76,77,30/01/2004,Industrial,Alquiler,Tarragona,112.0,1104992.0,25/06/2004,Pedro
78,79,31/01/2004,Parking,Venta,Barcelona,298.0,2520484.0,27/11/2004,Carmen
79,80,31/01/2004,Parking,Alquiler,Barcelona,217.0,1339107.0,05/10/2004,Carmen
80,81,01/02/2004,Industrial,Alquiler,Barcelona,236.0,1812244.0,17/11/2004,Pedro
81,82,02/02/2004,Parking,Venta,Girona,117.0,1069731.0,14/09/2004,Pedro
83,84,02/02/2004,Piso,Venta,Barcelona,94.0,470940.0,28/07/2004,Carmen
85,86,03/02/2004,Piso,Venta,Girona,275.0,2141700.0,08/01/2005,Jesús
89,90,04/02/2004,Suelo,Venta,Girona,292.0,2685816.0,24/07/2004,Pedro
97,98,07/02/2004,Casa,Venta,Lleida,227.0,1467782.0,01/02/2005,Carmen
98,99,07/02/2004,Industrial,Alquiler,Girona,251.0,2067236.0,22/12/2004,María
102,103,08/02/2004,Casa,Alquiler,Girona,258.0,1188090.0,19/07/2004,María
104,105,10/02/2004,Piso,Alquiler,Girona,238.0,1854496.0,02/02/2005,Luisa
105,106,10/02/2004,Piso,Alquiler,Lleida,300.0,2105700.0,26/01/2005,Pedro
106,107,10/02/2004,Suelo,Alquiler,Girona,222.0,1791318.0,13/12/2004,Jesús
107,108,12/02/2004,Suelo,Alquiler,Tarragona,187.0,1782297.0,20/12/2004,Joaquín
108,109,12/02/2004,Suelo,Alquiler,Barcelona,300.0,1528200.0,09/08/2004,Pedro
109,110,12/02/2004,Parking,Venta,Barcelona,206.0,1587642.0,20/12/2004,Luisa
111,112,13/02/2004,Local,Alquiler,Lleida,160.0,1064800.0,22/09/2004,Pedro
114,115,14/02/2004,Industrial,Venta,Tarragona,54.0,438750.0,15/08/2004,Carmen
116,117,15/02/2004,Oficina,Venta,Girona,274.0,1724008.0,26/09/2004,Joaquín
117,118,15/02/2004,Oficina,Venta,Girona,253.0,2047276.0,10/09/2004,Luisa
121,122,17/02/2004,Casa,Alquiler,Barcelona,270.0,1385910.0,05/02/2005,Pedro
122,123,17/02/2004,Local,Alquiler,Girona,179.0,1461356.0,30/07/2004,Pedro
124,125,19/02/2004,Industrial,Venta,Girona,118.0,1067192.0,25/08/2004,Carmen
125,126,19/02/2004,Industrial,Venta,Tarragona,194.0,1373132.0,31/08/2004,María
126,127,20/02/2004,Industrial,Venta,Barcelona,139.0,1087119.0,29/05/2004,Jesús
127,128,20/02/2004,Casa,Venta,Tarragona,130.0,1230190.0,04/01/2005,Luisa
128,129,21/02/2004,Parking,Alquiler,Lleida,206.0,1363926.0,08/01/2005,Carmen
129,130,21/02/2004,Oficina,Venta,Tarragona,216.0,1389096.0,23/11/2004,Luisa
130,131,21/02/2004,Local,Venta,Lleida,55.0,477345.0,04/09/2004,Carmen
131,132,21/02/2004,Oficina,Venta,Tarragona,190.0,1268630.0,04/12/2004,Jesús
133,134,22/02/2004,Oficina,Alquiler,Tarragona,275.0,1765225.0,20/02/2005,Joaquín
139,140,26/02/2004,Piso,Venta,Barcelona,222.0,1076034.0,02/06/2004,María
