,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,01/01/2004,Parking,Alquiler,Lleida,291.0,2133903.0,19/06/2004,Carmen
1,2,01/01/2004,Local,Venta,Girona,185.0,1945424.0,19/04/2004,Pedro
3,4,02/01/2004,Parking,Alquiler,Girona,285.0,,27/04/2004,Jesús
5,6,03/01/2004,Industrial,Alquiler,Girona,131.0,953156.0,05/09/2004,Pedro
8,9,04/01/2004,Piso,Alquiler,Lleida,108.0,1024380.0,28/12/2004,Jesús
9,10,04/01/2004,Parking,Venta,Lleida,299.0,2042768.0,06/10/2004,Joaquín
11,12,04/01/2004,Industrial,Venta,Girona,187.0,999328.0,05/04/2004,Carmen
12,13,04/01/2004,Parking,Venta,Barcelona,,2937300.0,04/11/2004,Jesús
13,14,04/01/2004,Local,Venta,Tarragona,68.0,664700.0,01/10/2004,Carmen
14,15,04/01/2004,Industrial,Alquiler,Girona,176.0,820336.0,29/11/2004,Pedro
18,19,07/01/2004,Piso,Alquiler,Girona,55.0,472615.0,09/04/2004,Luisa
20,21,09/01/2004,Industrial,Venta,Barcelona,228.0,2020992.0,12/06/2004,Carmen
25,26,10/01/2004,Local,Alquiler,Tarragona,70.0,549780.0,22/06/2004,Jesús
26,27,11/01/2004,Local,Alquiler,Tarragona,70.0,659330.0,23/12/2004,Pedro
29,30,12/01/2004,Local,Alquiler,Tarragona,201.0,939072.0,04/08/2004,Carmen
30,31,13/01/2004,Industrial,Alquiler,Barcelona,142.0,1405374.0,24/09/2004,Jesús
32,33,15/01/2004,Local,Alquiler,Barcelona,181.0,1504110.0,03/07/2004,María
34,35,15/01/2004,Industrial,Alquiler,Tarragona,257.0,1799771.0,31/12/2004,Luisa
35,36,16/01/2004,Industrial,Alquiler,Tarragona,140.0,1054340.0,02/12/2004,Luisa
36,37,16/01/2004,Local,Venta,Girona,229.0,1160572.0,09/07/2004,Pedro
38,39,18/01/2004,Parking,Alquiler,Tarragona,215.0,1154980.0,14/01/2005,Joaquín
40,41,18/01/2004,Piso,Venta,Barcelona,230.0,1421860.0,23/09/2004,Jesús
46,47,20/01/2004,Piso,Alquiler,Barcelona,53.0,249418.0,11/08/2004,Luisa
47,48,20/01/2004,Industrial,Venta,Barcelona,284.0,1457488.0,06/07/2004,Jesús
48,49,20/01/2004,Local,Venta,Girona,40.0,321680.0,11/01/2005,Jesús
49,50,20/01/2004,Local,Alquiler,Tarragona,235.0,957625.0,13/11/2004,Carmen
50,51,20/01/2004,Industrial,Venta,Lleida,90.0,568620.0,14/12/2004,Joaquín
51,52,22/01/2004,Local,Alquiler,Lleida,206.0,1605564.0,26/09/2004,María
54,55,22/01/2004,Local,Venta,Girona,127.0,983234.0,09/07/2004,Carmen
55,56,23/01/2004,Piso,Venta,Lleida,54.0,239220.0,01/05/2004,María
57,58,24/01/2004,Local,Alquiler,Girona,274.0,2287626.0,21/12/2004,María
58,59,24/01/2004,Industrial,Venta,Tarragona,166.0,1373816.0,19/11/2004,Joaquín
61,62,24/01/2004,Industrial,Venta,Tarragona,178.0,1142938.0,23/01/2005,Joaquín
62,63,25/01/2004,Piso,Venta,Barcelona,144.0,738144.0,06/09/2004,Luisa
63,64,26/01/2004,Industrial,Venta,Lleida,57.0,509010.0,13/10/2004,María
66,67,27/01/2004,Industrial,Alquiler,Barcelona,219.0,948927.0,15/10/2004,Jesús
67,68,27/01/2004,Local,Alquiler,Barcelona,68.0,376992.0,28/06/2004,Luisa
68,69,27/01/2004,Local,Venta,Girona,248.0,2212408.0,09/10/2004,María
72,73,28/01/2004,Parking,Alquiler,Barcelona,62.0,320044.0,04/09/2004,Joaquín
73,74,29/01/2004,Industrial,Venta,Girona,229.0,1098055.0,22/10/2004,Joaquín
76,77,30/01/2004,Industrial,Alquiler,Tarragona,112.0,1104992.0,25/06/2004,Pedro
77,78,31/01/2004,Piso,Venta,Lleida,87.0,448485.0,04/10/2004,María
78,79,31/01/2004,Parking,Venta,Barcelona,298.0,2520484.0,27/11/2004,Carmen
79,80,31/01/2004,Parking,Alquiler,Barcelona,217.0,1339107.0,05/10/2004,Carmen
80,81,01/02/2004,Industrial,Alquiler,Barcelona,236.0,1812244.0,17/11/2004,Pedro
81,82,02/02/2004,Parking,Venta,Girona,117.0,1069731.0,14/09/2004,Pedro
83,84,02/02/2004,Piso,Venta,Barcelona,94.0,470940.0,28/07/2004,Carmen
84,85,02/02/2004,Local,Alquiler,Barcelona,127.0,925322.0,03/06/2004,Joaquín
85,86,03/02/2004,Piso,Venta,Girona,275.0,2141700.0,08/01/2005,Jesús
86,87,03/02/2004,Industrial,Alquiler,Barcelona,93.0,778875.0,12/05/2004,Luisa
87,88,03/02/2004,Parking,Alquiler,Tarragona,58.0,421196.0,10/10/2004,Pedro
88,89,04/02/2004,Local,Alquiler,Barcelona,49.0,219716.0,27/09/2004,Jesús
90,91,04/02/2004,Industrial,Alquiler,Barcelona,123.0,723609.0,16/12/2004,Joaquín
91,92,05/02/2004,Piso,Alquiler,Barcelona,48.0,388032.0,06/05/2004,Jesús
92,93,05/02/2004,Industrial,Alquiler,Tarragona,132.0,922020.0,23/10/2004,Joaquín
93,94,06/02/2004,Industrial,Alquiler,Barcelona,177.0,965358.0,08/06/2004,Luisa
94,95,06/02/2004,Local,Venta,Barcelona,68.0,663816.0,23/05/2004,Joaquín
95,96,07/02/2004,Industrial,Alquiler,Tarragona,103.0,728931.0,05/02/2005,Jesús
98,99,07/02/2004,Industrial,Alquiler,Girona,251.0,2067236.0,22/12/2004,María
99,100,08/02/2004,Local,Alquiler,Tarragona,125.0,531375.0,23/06/2004,Jesús
101,102,08/02/2004,Local,Venta,Barcelona,45.0,438435.0,23/05/2004,Luisa
104,105,10/02/2004,Piso,Alquiler,Girona,238.0,1854496.0,02/02/2005,Luisa
105,106,10/02/2004,Piso,Alquiler,Lleida,300.0,2105700.0,26/01/2005,Pedro
109,110,12/02/2004,Parking,Venta,Barcelona,206.0,1587642.0,20/12/2004,Luisa
111,112,13/02/2004,Local,Alquiler,Lleida,160.0,1064800.0,22/09/2004,Pedro
114,115,14/02/2004,Industrial,Venta,Tarragona,54.0,438750.0,15/08/2004,Carmen
115,116,15/02/2004,Parking,Venta,Girona,103.0,973659.0,04/01/2005,Jesús
118,119,16/02/2004,Parking,Venta,Lleida,51.0,307989.0,06/07/2004,Pedro
119,120,16/02/2004,Piso,Venta,Tarragona,174.0,973878.0,13/12/2004,Jesús
120,121,17/02/2004,Parking,Venta,Barcelona,152.0,688864.0,06/12/2004,Jesús
122,123,17/02/2004,Local,Alquiler,Girona,179.0,1461356.0,30/07/2004,Pedro
124,125,19/02/2004,Industrial,Venta,Girona,118.0,1067192.0,25/08/2004,Carmen
125,126,19/02/2004,Industrial,Venta,Tarragona,194.0,1373132.0,31/08/2004,María
126,127,20/02/2004,Industrial,Venta,Barcelona,139.0,1087119.0,29/05/2004,Jesús
128,129,21/02/2004,Parking,Alquiler,Lleida,206.0,1363926.0,08/01/2005,Carmen
130,131,21/02/2004,Local,Venta,Lleida,55.0,477345.0,04/09/2004,Carmen
134,135,22/02/2004,Local,Venta,Lleida,45.0,229455.0,05/10/2004,Jesús
137,138,24/02/2004,Industrial,Venta,Girona,88.0,678480.0,28/12/2004,Luisa
138,139,26/02/2004,Local,Alquiler,Tarragona,63.0,533925.0,22/09/2004,Joaquín
139,140,26/02/2004,Piso,Venta,Barcelona,222.0,1076034.0,02/06/2004,María
143,144,28/02/2004,Parking,Alquiler,Barcelona,121.0,782870.0,19/11/2004,Pedro
144,145,28/02/2004,Piso,Venta,Girona,50.0,315550.0,14/10/2004,Pedro
145,146,28/02/2004,Parking,Venta,Girona,274.0,2028970.0,20/08/2004,Luisa
